metric_type,metric_name,value,confidence,timestamp
asset_info,asset_type,REIT,1.0,2025-09-07T18:01:00.278894
sentiment,overall_sentiment,-0.5986358454716348,0.8,2025-09-07T18:01:00.278894
component_sentiment,technical_momentum_sentiment,-0.3297148620585736,0.8,2025-09-07T18:01:00.278894
component_metric,technical_momentum_original_diagnostics_score,-0.33,0.8,2025-09-07T18:01:00.278894
component_metric,technical_momentum_original_diagnostics_features_f_roc20,-0.062,0.8,2025-09-07T18:01:00.278894
component_metric,technical_momentum_original_diagnostics_features_f_rsi14,-0.254,0.8,2025-09-07T18:01:00.278894
component_metric,technical_momentum_original_diagnostics_features_f_emaAlignSlope,-0.762,0.8,2025-09-07T18:01:00.278894
component_metric,technical_momentum_original_diagnostics_metrics_price,755.55,0.8,2025-09-07T18:01:00.278894
component_metric,technical_momentum_original_diagnostics_metrics_roc20,-0.0054,0.8,2025-09-07T18:01:00.278894
component_metric,technical_momentum_original_diagnostics_metrics_rsi14,43.64,0.8,2025-09-07T18:01:00.278894
component_metric,technical_momentum_technical_features_f_roc20,-0.062,0.8,2025-09-07T18:01:00.278894
component_metric,technical_momentum_technical_features_f_rsi14,-0.254,0.8,2025-09-07T18:01:00.278894
component_metric,technical_momentum_technical_features_f_emaAlignSlope,-0.762,0.8,2025-09-07T18:01:00.278894
component_metric,technical_momentum_price_metrics_price,755.55,0.8,2025-09-07T18:01:00.278894
component_metric,technical_momentum_price_metrics_roc20,-0.0054,0.8,2025-09-07T18:01:00.278894
component_metric,technical_momentum_price_metrics_rsi14,43.64,0.8,2025-09-07T18:01:00.278894
component_sentiment,yield_spread_sentiment,-0.999999999755146,0.8,2025-09-07T18:01:00.278894
component_metric,yield_spread_original_diagnostics_score,-1.0,0.8,2025-09-07T18:01:00.278894
component_metric,yield_spread_original_diagnostics_features_spread_frac,-0.0571,0.8,2025-09-07T18:01:00.278894
component_metric,yield_spread_original_diagnostics_features_reit_yield_ttm,0.0079,0.8,2025-09-07T18:01:00.278894
component_metric,yield_spread_original_diagnostics_features_gsec10y_yield,0.065,0.8,2025-09-07T18:01:00.278894
component_metric,yield_spread_original_diagnostics_metrics_div_ttm,6.0,0.8,2025-09-07T18:01:00.278894
component_metric,yield_spread_original_diagnostics_metrics_price,755.55,0.8,2025-09-07T18:01:00.278894
component_metric,yield_spread_original_diagnostics_metrics_scale_proxy,0.001,0.8,2025-09-07T18:01:00.278894
component_metric,yield_spread_yield_features_spread_frac,-0.0571,0.8,2025-09-07T18:01:00.278894
component_metric,yield_spread_yield_features_reit_yield_ttm,0.0079,0.8,2025-09-07T18:01:00.278894
component_metric,yield_spread_yield_features_gsec10y_yield,0.065,0.8,2025-09-07T18:01:00.278894
component_metric,yield_spread_yield_metrics_div_ttm,6.0,0.8,2025-09-07T18:01:00.278894
component_metric,yield_spread_yield_metrics_price,755.55,0.8,2025-09-07T18:01:00.278894
component_metric,yield_spread_yield_metrics_scale_proxy,0.001,0.8,2025-09-07T18:01:00.278894
component_sentiment,accumulation_flow_sentiment,-0.3699822583188548,0.8,2025-09-07T18:01:00.278894
component_metric,accumulation_flow_original_diagnostics_score,-0.37,0.8,2025-09-07T18:01:00.278894
component_metric,accumulation_flow_original_diagnostics_features_f_updown,-0.542,0.8,2025-09-07T18:01:00.278894
component_metric,accumulation_flow_original_diagnostics_features_f_ad_slope,-0.314,0.8,2025-09-07T18:01:00.278894
component_metric,accumulation_flow_original_diagnostics_features_f_obv_slope,-0.082,0.8,2025-09-07T18:01:00.278894
component_metric,accumulation_flow_original_diagnostics_metrics_up_down_ratio_20d,0.818,0.8,2025-09-07T18:01:00.278894
component_metric,accumulation_flow_original_diagnostics_metrics_ad_slope_20d,-7074231.32,0.8,2025-09-07T18:01:00.278894
